Price,Close,High,Low,Open,Volume,RSI,MACD,SMA_50
2025-04-24 09:45:00+00:00,24245.05078125,24257.19921875,24240.75,24250.94921875,0.0,66.85052367520257,111.71113021865676,23865.1369921875
2025-04-25 03:45:00+00:00,24032.400390625,24364.849609375,23950.349609375,24289.0,0.0,42.041758479356105,86.39382769020813,23888.895
2025-04-25 04:45:00+00:00,23941.44921875,24043.650390625,23901.44921875,24033.650390625,0.0,35.904480673681476,58.31842507316105,23901.4819921875
2025-04-25 05:45:00+00:00,23937.94921875,23946.650390625,23848.349609375,23940.349609375,0.0,35.68857278117113,35.37822729544132,23914.33796875
2025-04-25 06:45:00+00:00,24047.44921875,24060.80078125,23922.0,23938.150390625,0.0,46.523242843113344,25.73700992206068,23928.6359375
2025-04-25 07:45:00+00:00,24077.80078125,24150.650390625,24029.5,24047.150390625,0.0,49.083803760029355,20.311257593381015,23943.43796875
2025-04-25 08:45:00+00:00,24052.80078125,24130.25,24038.150390625,24077.099609375,0.0,47.084001512114256,13.834542719421734,23957.97296875
2025-04-25 09:45:00+00:00,23991.05078125,24054.650390625,23986.099609375,24052.94921875,0.0,42.48019579857546,3.676608926780318,23971.37
2025-04-28 03:45:00+00:00,24275.849609375,24279.05078125,24059.150390625,24071.69921875,0.0,61.28325111412357,18.395209949048876,23990.005
2025-04-28 04:45:00+00:00,24235.0,24282.900390625,24227.75,24276.0,0.0,58.3375181998705,26.45858709670574,24007.593984375
2025-04-28 05:45:00+00:00,24289.650390625,24296.5,24210.75,24236.19921875,0.0,61.035916658429,36.8341007853669,24027.0009765625
2025-04-28 06:45:00+00:00,24339.0,24354.75,24286.94921875,24292.30078125,0.0,63.344648355712316,48.48002364502099,24046.9819921875
2025-04-28 07:45:00+00:00,24350.599609375,24352.30078125,24319.900390625,24341.849609375,0.0,63.88630645152889,57.977168244236964,24066.8619921875
2025-04-28 08:45:00+00:00,24324.099609375,24353.69921875,24260.900390625,24352.599609375,0.0,61.64514113569163,62.64328246590958,24084.7719921875
2025-04-28 09:45:00+00:00,24312.900390625,24337.75,24309.55078125,24325.599609375,0.0,60.67638965116326,64.69180142914774,24102.56
2025-04-29 03:45:00+00:00,24351.55078125,24456.849609375,24291.0,24370.69921875,0.0,62.846416377694766,68.6427599666822,24120.9040234375
2025-04-29 04:45:00+00:00,24356.05078125,24369.849609375,24305.5,24351.30078125,0.0,63.101722425021514,71.31496098649222,24140.95703125
2025-04-29 05:45:00+00:00,24316.599609375,24360.349609375,24302.44921875,24356.55078125,0.0,59.25727317018498,69.44875763606979,24158.48703125
2025-04-29 06:45:00+00:00,24356.849609375,24369.5,24304.099609375,24316.400390625,0.0,61.81346714660225,70.40601988134222,24172.9350390625
2025-04-29 07:45:00+00:00,24365.94921875,24376.05078125,24341.349609375,24355.44921875,0.0,62.38799585993775,71.07955862898962,24184.481015625
2025-04-29 08:45:00+00:00,24326.44921875,24368.30078125,24324.44921875,24366.900390625,0.0,58.28838564320987,67.6462393158472,24194.3869921875
2025-04-29 09:45:00+00:00,24325.44921875,24348.5,24310.599609375,24326.19921875,0.0,58.184145792039615,64.10564738315225,24203.9559765625
2025-04-30 03:45:00+00:00,24353.349609375,24395.150390625,24270.349609375,24342.05078125,0.0,60.316487624177014,62.826802843195765,24214.26796875
2025-04-30 04:45:00+00:00,24329.650390625,24362.94921875,24290.400390625,24353.75,0.0,57.62829695858179,59.21834818547359,24220.1919921875
2025-04-30 05:45:00+00:00,24344.75,24371.599609375,24313.55078125,24329.94921875,0.0,58.88558421797013,56.920885618194006,24224.8869921875
2025-04-30 06:45:00+00:00,24334.5,24365.0,24326.69921875,24344.94921875,0.0,57.635352859801216,53.654544454446295,24228.61
2025-04-30 07:45:00+00:00,24340.650390625,24353.25,24327.44921875,24333.80078125,0.0,58.208717122321225,50.97462690360044,24231.9480078125
2025-04-30 08:45:00+00:00,24349.400390625,24395.80078125,24324.150390625,24340.650390625,0.0,59.057681553776256,48.99207466970256,24236.06703125
2025-04-30 09:45:00+00:00,24243.44921875,24353.150390625,24230.099609375,24348.849609375,0.0,46.68950993782745,38.42853342895614,24238.6480078125
2025-05-02 03:45:00+00:00,24581.94921875,24588.650390625,24313.0,24320.349609375,0.0,69.0155139229297,56.71717167704992,24247.8630078125
2025-05-02 04:45:00+00:00,24422.900390625,24587.25,24404.69921875,24581.849609375,0.0,56.94764519029647,57.711871517552936,24252.40703125
2025-05-02 05:45:00+00:00,24315.0,24443.05078125,24303.05078125,24424.650390625,0.0,50.49669047010138,49.22607104054259,24254.10703125
2025-05-02 06:45:00+00:00,24297.0,24314.150390625,24239.30078125,24314.05078125,0.0,49.489536700122926,40.580773560937814,24255.9900390625
2025-05-02 07:45:00+00:00,24373.55078125,24412.19921875,24296.25,24297.05078125,0.0,53.71732403752369,39.451548415254365,24259.8190625
2025-05-02 08:45:00+00:00,24367.150390625,24397.75,24286.900390625,24372.44921875,0.0,53.315508364450885,37.60666509267685,24263.5860546875
2025-05-02 09:45:00+00:00,24313.650390625,24368.150390625,24309.849609375,24365.44921875,0.0,49.95196475569537,31.464871434331144,24266.6360546875
2025-05-05 03:45:00+00:00,24479.099609375,24510.599609375,24403.099609375,24411.44921875,0.0,58.641621702941904,39.492579078825656,24273.53703125
2025-05-05 04:45:00+00:00,24486.19921875,24526.19921875,24459.650390625,24479.80078125,0.0,58.97082396512978,45.898386339285935,24279.4480078125
2025-05-05 05:45:00+00:00,24448.69921875,24495.900390625,24414.44921875,24487.19921875,0.0,56.41643828415669,47.40266967623393,24284.5880078125
2025-05-05 06:45:00+00:00,24451.05078125,24477.0,24430.0,24448.69921875,0.0,56.54355813681763,48.22862690972761,24289.156015625
2025-05-05 07:45:00+00:00,24472.900390625,24492.900390625,24434.05078125,24451.25,0.0,57.7758771060577,50.0691192005288,24293.7480078125
2025-05-05 08:45:00+00:00,24448.30078125,24492.150390625,24442.150390625,24473.900390625,0.0,55.85542471573136,48.97815008562611,24296.6450390625
2025-05-05 09:45:00+00:00,24459.5,24475.19921875,24447.5,24448.599609375,0.0,56.56330204044135,48.45863161855959,24299.1390234375
2025-05-06 03:45:00+00:00,24389.69921875,24501.400390625,24380.650390625,24501.400390625,0.0,51.06691256755194,41.93121287235408,24300.916015625
2025-05-06 04:45:00+00:00,24387.94921875,24406.150390625,24369.19921875,24388.69921875,0.0,50.933281680254915,36.1996886367524,24302.7280078125
2025-05-06 05:45:00+00:00,24392.19921875,24396.849609375,24356.94921875,24388.099609375,0.0,51.2668061404652,31.635677470552764,24304.9909765625
2025-05-06 06:45:00+00:00,24383.25,24402.05078125,24367.05078125,24390.400390625,0.0,50.4885643001464,26.985466913320124,24307.4499609375
2025-05-06 07:45:00+00:00,24389.05078125,24408.400390625,24376.0,24382.80078125,0.0,51.007713359481826,23.497353249811567,24310.0809765625
2025-05-06 08:45:00+00:00,24387.650390625,24400.650390625,24356.400390625,24387.25,0.0,50.869041768558354,20.38501248638204,24312.8919921875
2025-05-06 09:45:00+00:00,24335.900390625,24389.25,24332.75,24387.69921875,0.0,45.90270913770545,13.586055905499961,24314.6069921875
2025-05-07 03:45:00+00:00,24304.099609375,24449.349609375,24224.650390625,24224.650390625,0.0,43.116957023302724,5.567596764860355,24315.78796875
2025-05-07 04:45:00+00:00,24372.599609375,24373.75,24285.0,24303.5,0.0,50.13672015389331,4.6862672755887615,24322.591953125
2025-05-07 05:45:00+00:00,24374.849609375,24430.400390625,24349.75,24372.5,0.0,50.35344335119604,4.121849387691327,24331.2599609375
2025-05-07 06:45:00+00:00,24362.05078125,24400.400390625,24354.94921875,24374.650390625,0.0,49.04753085131002,2.611679859990545,24339.7419921875
2025-05-07 07:45:00+00:00,24406.900390625,24422.94921875,24345.349609375,24362.0,0.0,53.589786863716476,4.97648248945552,24346.931015625
2025-05-07 08:45:00+00:00,24407.05078125,24426.05078125,24367.849609375,24410.94921875,0.0,53.60472261015715,6.784533004112745,24353.516015625
2025-05-07 09:45:00+00:00,24409.30078125,24425.05078125,24403.80078125,24406.80078125,0.0,53.84404731172284,8.303267361701728,24360.646015625
2025-05-08 03:45:00+00:00,24391.849609375,24445.25,24373.849609375,24431.5,0.0,51.61992885957078,8.006418548004149,24368.6619921875
2025-05-08 04:45:00+00:00,24399.599609375,24412.30078125,24384.349609375,24391.55078125,0.0,52.55717264391794,8.300837072332797,24371.1369921875
2025-05-08 05:45:00+00:00,24403.55078125,24415.80078125,24396.69921875,24398.05078125,0.0,53.05648302156063,8.752103620485286,24374.5080078125
2025-05-08 06:45:00+00:00,24385.0,24411.19921875,24381.05078125,24403.400390625,0.0,50.37581472291991,7.526086558547831,24376.415
2025-05-08 07:45:00+00:00,24317.5,24386.69921875,24314.400390625,24385.94921875,0.0,42.050477981757226,1.095149127588229,24375.985
2025-05-08 08:45:00+00:00,24308.44921875,24357.30078125,24244.400390625,24316.94921875,0.0,41.070366926960965,-4.67781459042817,24375.1419921875
2025-05-08 09:45:00+00:00,24153.19921875,24310.900390625,24151.44921875,24309.150390625,0.0,28.70927571965906,-21.532098818610393,24371.723984375
2025-05-09 03:45:00+00:00,24060.650390625,24163.650390625,23949.19921875,23960.25,0.0,24.060336004599918,-41.874454815690115,24366.678984375
2025-05-09 04:45:00+00:00,24012.849609375,24086.75,23976.650390625,24061.19921875,0.0,22.072284137811266,-61.148164089012425,24359.9049609375
2025-05-09 05:45:00+00:00,24049.69921875,24121.30078125,23999.44921875,24012.30078125,0.0,27.074775792113257,-72.61223340897777,24353.7779296875
2025-05-09 06:45:00+00:00,24009.25,24054.55078125,23992.80078125,24049.849609375,0.0,25.165118896546943,-83.99328256668014,24347.6309375
2025-05-09 07:45:00+00:00,24005.05078125,24024.69921875,23961.69921875,24008.80078125,0.0,24.96822997653979,-92.28785098007938,24340.5949609375
2025-05-09 08:45:00+00:00,24000.55078125,24032.75,23960.94921875,24004.599609375,0.0,24.74480331592771,-98.09370542384931,24333.2869921875
2025-05-09 09:45:00+00:00,24038.650390625,24046.900390625,23997.349609375,23999.30078125,0.0,30.42173328691905,-98.4852897196979,24327.531015625
2025-05-12 03:45:00+00:00,24682.650390625,24737.19921875,24386.599609375,24401.0,0.0,70.68140478851895,-46.29652767548032,24334.6750390625
2025-05-12 04:45:00+00:00,24702.849609375,24723.55078125,24669.099609375,24682.30078125,0.0,71.24344433751025,-3.268966997806274,24341.6650390625
2025-05-12 05:45:00+00:00,24721.30078125,24745.44921875,24698.55078125,24703.19921875,0.0,71.77570081035637,31.95122635504231,24349.498046875
2025-05-12 06:45:00+00:00,24789.150390625,24806.55078125,24690.349609375,24723.30078125,0.0,73.70320357549534,64.59378284824561,24358.3860546875
2025-05-12 07:45:00+00:00,24866.19921875,24866.30078125,24789.0,24789.150390625,0.0,75.73015014820362,95.57866914949409,24369.0200390625
2025-05-12 08:45:00+00:00,24907.44921875,24930.349609375,24854.75,24866.25,0.0,76.76282906024156,122.05595990802613,24380.356015625
2025-05-12 09:45:00+00:00,24920.25,24944.19921875,24904.75,24906.05078125,0.0,77.08862567429233,142.43046986234185,24391.7730078125
2025-05-13 03:45:00+00:00,24771.94921875,24971.55078125,24676.849609375,24864.05078125,0.0,65.6114597538863,144.9400040019027,24402.3430078125
2025-05-13 04:45:00+00:00,24724.55078125,24837.80078125,24636.55078125,24770.849609375,0.0,62.413113528618375,141.47335335339085,24405.1950390625
2025-05-13 05:45:00+00:00,24757.599609375,24817.900390625,24693.900390625,24724.55078125,0.0,63.74034350728228,139.78145832703012,24411.8890234375
2025-05-13 06:45:00+00:00,24633.150390625,24772.0,24597.900390625,24755.44921875,0.0,55.75627305949799,126.93537544794526,24418.25203125
2025-05-13 07:45:00+00:00,24591.55078125,24637.0,24577.75,24630.80078125,0.0,53.35062954684476,112.10573625694815,24424.143046875
2025-05-13 08:45:00+00:00,24559.44921875,24636.849609375,24559.44921875,24590.44921875,0.0,51.50391660485807,96.64870642061578,24427.861015625
2025-05-13 09:45:00+00:00,24592.25,24594.30078125,24548.05078125,24560.0,0.0,53.28332039598249,86.0536746380676,24432.3630078125
2025-05-14 03:45:00+00:00,24758.150390625,24758.25,24587.30078125,24618.75,0.0,61.06473991274727,90.00627434959824,24441.2530078125
2025-05-14 04:45:00+00:00,24700.94921875,24767.19921875,24683.44921875,24757.400390625,0.0,57.50795974852467,87.5142715312868,24445.69
2025-05-14 05:45:00+00:00,24677.099609375,24724.900390625,24633.05078125,24699.650390625,0.0,56.04226603061758,82.66200109350757,24449.5080078125
2025-05-14 06:45:00+00:00,24636.05078125,24679.650390625,24535.900390625,24677.25,0.0,53.514199627556415,74.64379721241494,24453.2550390625
2025-05-14 07:45:00+00:00,24615.0,24660.94921875,24596.75,24636.44921875,0.0,52.213410232821346,65.83182247979857,24456.5340234375
2025-05-14 08:45:00+00:00,24669.55078125,24675.19921875,24577.69921875,24614.55078125,0.0,55.24909856116732,62.52926274649144,24460.46703125
2025-05-14 09:45:00+00:00,24685.75,24696.75,24651.30078125,24669.94921875,0.0,56.14013650128632,60.521448351493746,24465.216015625
2025-05-15 03:45:00+00:00,24561.69921875,24699.55078125,24494.94921875,24699.55078125,0.0,48.22189413234046,48.36288246251934,24467.26
2025-05-15 04:45:00+00:00,24617.25,24806.44921875,24533.19921875,24562.19921875,0.0,51.519493035912326,42.71719792030126,24471.811015625
2025-05-15 05:45:00+00:00,24661.05078125,24707.900390625,24601.150390625,24617.25,0.0,54.00675806016949,41.30121454197797,24477.273046875
2025-05-15 06:45:00+00:00,24886.30078125,24887.55078125,24626.30078125,24662.05078125,0.0,64.18344377353927,57.689817712329386,24487.155078125
2025-05-15 07:45:00+00:00,25091.0,25104.5,24848.80078125,24887.150390625,0.0,70.55879348002368,86.2017400086188,24501.310078125
2025-05-15 08:45:00+00:00,25056.400390625,25114.80078125,25040.0,25091.5,0.0,68.34436038481607,104.79770185746384,24514.6570703125
2025-05-15 09:45:00+00:00,25035.30078125,25063.44921875,25035.30078125,25055.19921875,0.0,66.96416124078183,116.48975210960634,24527.610078125
2025-05-16 03:45:00+00:00,25005.150390625,25069.55078125,24976.25,25061.80078125,0.0,64.94582499394984,121.91751243268664,24540.995078125
2025-05-16 04:45:00+00:00,24975.44921875,25040.849609375,24953.150390625,25005.650390625,0.0,62.93349921243354,122.41133359113883,24554.4220703125
2025-05-16 05:45:00+00:00,24976.05078125,24997.900390625,24958.69921875,24975.150390625,0.0,62.95853303012925,121.45121744928474,24566.49109375
2025-05-16 06:45:00+00:00,25006.80078125,25018.5,24968.80078125,24974.650390625,0.0,64.28632219533691,121.7679216976976,24579.1301171875
2025-05-16 07:45:00+00:00,25019.94921875,25034.80078125,24994.44921875,25006.75,0.0,64.866256866897,121.677261388646,24592.2880859375
2025-05-16 08:45:00+00:00,25024.19921875,25034.5,24992.349609375,25019.599609375,0.0,65.06373564434179,120.55862711359441,24604.6340625
2025-05-16 09:45:00+00:00,25013.099609375,25025.599609375,25002.69921875,25025.44921875,0.0,64.05116234357013,117.42287783555003,24616.7550390625
2025-05-19 03:45:00+00:00,25040.849609375,25056.55078125,24967.94921875,25005.349609375,0.0,65.49688746497432,115.84161697286254,24629.386015625
2025-05-19 04:45:00+00:00,25027.05078125,25062.94921875,24999.44921875,25040.19921875,0.0,64.11608432090588,112.18184377448051,24642.0900390625
2025-05-19 05:45:00+00:00,24987.5,25043.099609375,24979.099609375,25026.55078125,0.0,60.19870354047276,104.88102645353138,24653.848046875
2025-05-19 06:45:00+00:00,24980.55078125,25018.599609375,24972.25,24987.400390625,0.0,59.51070190744051,97.41143387781995,24665.388046875
2025-05-19 07:45:00+00:00,24940.349609375,25006.099609375,24919.30078125,24980.44921875,0.0,55.555090642579444,87.24215608200029,24676.4950390625
2025-05-19 08:45:00+00:00,24945.650390625,24960.55078125,24916.650390625,24940.19921875,0.0,55.97066288523316,78.7034149333449,24689.058046875
2025-05-19 09:45:00+00:00,24935.349609375,24951.650390625,24927.44921875,24945.349609375,0.0,54.8964660697419,70.29489826493227,24701.5960546875
2025-05-20 03:45:00+00:00,24899.400390625,25007.650390625,24864.05078125,25000.94921875,0.0,51.203089799703534,60.038203672702366,24716.520078125
2025-05-20 04:45:00+00:00,24920.75,24967.25,24879.0,24899.5,0.0,53.21616565418946,53.021238530094706,24733.7220703125
2025-05-20 05:45:00+00:00,24859.19921875,24921.05078125,24844.80078125,24921.05078125,0.0,47.17392340138461,42.00935179693988,24750.6490625
2025-05-20 06:45:00+00:00,24790.69921875,24876.19921875,24781.400390625,24862.0,0.0,41.5233946358396,27.438678694928967,24765.4690625
2025-05-20 07:45:00+00:00,24738.349609375,24795.099609375,24728.349609375,24790.44921875,0.0,37.79728792121549,11.53418046036677,24780.0510546875
2025-05-20 08:45:00+00:00,24693.099609375,24745.599609375,24670.0,24737.099609375,0.0,34.88341099621488,-4.667739016404084,24793.81203125
2025-05-20 09:45:00+00:00,24713.849609375,24713.849609375,24672.05078125,24692.849609375,0.0,37.271548521843755,-15.653086309983337,24808.0780078125
2025-05-21 03:45:00+00:00,24869.25,24869.650390625,24692.650390625,24744.25,0.0,51.59064651192,-11.684844780058484,24824.69
2025-05-21 04:45:00+00:00,24896.69921875,24945.400390625,24858.05078125,24869.19921875,0.0,53.60521851207815,-6.2529817462964274,24828.9709765625
2025-05-21 05:45:00+00:00,24733.650390625,24914.400390625,24727.099609375,24896.94921875,0.0,42.3351410946034,-14.932733672874747,24829.5869921875
2025-05-21 06:45:00+00:00,24799.69921875,24808.5,24685.94921875,24733.44921875,0.0,47.17968538261171,-16.294083124783356,24831.1549609375
2025-05-21 07:45:00+00:00,24798.69921875,24839.349609375,24740.80078125,24800.05078125,0.0,47.11514644546763,-17.254751975990075,24831.3459375
2025-05-21 08:45:00+00:00,24809.69921875,24829.849609375,24780.650390625,24799.19921875,0.0,47.958469928515285,-16.933284529204684,24830.2159375
2025-05-21 09:45:00+00:00,24800.400390625,24819.94921875,24794.849609375,24809.400390625,0.0,47.27220942057625,-17.230237524978293,24828.0749609375
2025-05-22 03:45:00+00:00,24606.05078125,24732.349609375,24542.099609375,24732.349609375,0.0,35.755935853381644,-32.770209565544064,24821.7909765625
2025-05-22 04:45:00+00:00,24594.599609375,24628.599609375,24571.150390625,24606.44921875,0.0,35.211629825363204,-45.48543544985296,24818.243984375
2025-05-22 05:45:00+00:00,24572.80078125,24607.5,24543.05078125,24594.650390625,0.0,34.14600865968444,-56.66809232702144,24815.208984375
2025-05-22 06:45:00+00:00,24539.650390625,24574.650390625,24509.349609375,24572.75,0.0,32.53355083765818,-67.4281185646687,24810.85
2025-05-22 07:45:00+00:00,24529.80078125,24556.599609375,24515.05078125,24540.44921875,0.0,32.04928723024368,-75.87565076864121,24808.7830078125
2025-05-22 08:45:00+00:00,24606.25,24639.849609375,24464.150390625,24529.30078125,0.0,39.568193502706116,-75.53089472310967,24809.0769921875
2025-05-22 09:45:00+00:00,24637.0,24647.150390625,24597.5,24606.349609375,0.0,42.33227124247414,-71.94704432021899,24810.6280078125
2025-05-23 03:45:00+00:00,24818.099609375,24826.349609375,24614.650390625,24643.849609375,0.0,55.299661129735014,-53.87258249521619,24815.145
